"Referentiecode","ReferentieOmslagcode","Sortering","Referentienummer","Omschrijving (verkort)","Omschrijving","D/C","Nivo","ZZP-Belastingdienst pilot ZOL-AWA","Afrek syst","WoCo","BB","ZZP","Agro","WKR","EZ/VOF","BV","WoCo","Bank","OZW","Nivo5","Uitbr5"
"B","","","","BALANS","BALANS","","1","1","","1","","","","","","","","","","",""
"BIva","","A","01","Immateriële vaste activa","Immateriële vaste activa","D","2","1","","1","","","","","","","","","","",""
"BIvaKou","","A.A","0101000","Kosten van oprichting en van uitgifte van aandelen","Kosten van oprichting en van uitgifte van aandelen","D","3","","","","","1","","","1","","1","","","",""
"BIvaKouVvp","","A.A.A","0101010","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs kosten van oprichting en van uitgifte van aandelen","D","4","","","","","1","","","1","","1","","","",""
"BIvaKouVvpBeg","","A.A.A010","0101010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) kosten van oprichting en van uitgifte van aandelen","D","5","","","","1","1","","","1","","1","","","1",""
"BIvaKouVvpInv","","A.A.A020","0101010.02","Investeringen","Investeringen kosten van oprichting en van uitgifte van aandelen","D","5","","","","","1","","","1","","1","","","1",""
"BIvaKouVvpAdo","","A.A.A030","0101010.03","Bij overname verkregen activa","Bij overname verkregen activa kosten van oprichting en van uitgifte van aandelen","D","5","","","","","1","","","1","","1","","","1",""
"BIvaKouVvpDes","","A.A.A040","0101010.04","Desinvesteringen","Desinvesteringen kosten van oprichting en van uitgifte van aandelen","C","5","","","","","1","","","1","","1","","","1",""
"BIvaKouVvpDda","","A.A.A050","0101010.05","Afstotingen","Afstotingen kosten van oprichting en van uitgifte van aandelen","C","5","","","","","1","","","1","","1","","","1",""
"BIvaKouVvpOmv","","A.A.A080","0101010.06","Omrekeningsverschillen","Omrekeningsverschillen kosten van oprichting en van uitgifte van aandelen","D","5","","","","","1","","","1","","1","","","1",""
"BIvaKouVvpOvm","","A.A.A090","0101010.07","Overige mutaties","Overige mutaties kosten van oprichting en van uitgifte van aandelen","D","5","","","","","1","","","1","","1","","","1",""
"BIvaKouCae","","A.A.B","0101020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen kosten van oprichting en van uitgifte van aandelen","C","4","","","","","1","","","1","","1","","","",""
"BIvaKouCaeBeg","","A.A.B010","0101020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) kosten van oprichting en van uitgifte van aandelen","C","5","","","","1","1","","","1","","1","","","1",""
"BIvaKouCaeAfs","","A.A.B020","0101020.02","Afschrijvingen","Afschrijvingen kosten van oprichting en van uitgifte van aandelen","C","5","","","","","1","","","1","","1","","","1",""
"BIvaKouCaeDca","","A.A.B030","0101020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen kosten van oprichting en van uitgifte van aandelen","D","5","","","","","1","","","1","","1","","","1",""
"BIvaKouCaeWvr","","A.A.B040","0101020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen kosten van oprichting en van uitgifte van aandelen","C","5","","","","","1","","","1","","1","","","1",""
"BIvaKouCaeTvw","","A.A.B050","0101020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen kosten van oprichting en van uitgifte van aandelen","D","5","","","","","1","","","1","","1","","","1",""
"BIvaKouCuh","","A.A.C","0101030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen kosten van oprichting en van uitgifte van aandelen","D","4","","","","","1","","","1","","1","","","",""
"BIvaKouCuhBeg","","A.A.C010","0101030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) kosten van oprichting en van uitgifte van aandelen","D","5","","","","1","1","","","1","","1","","","1",""
"BIvaKouCuhHer","","A.A.C020","0101030.02","Herwaarderingen","Herwaarderingen kosten van oprichting en van uitgifte van aandelen","D","5","","","","","1","","","1","","1","","","1",""
"BIvaKouCuhAfh","","A.A.C030","0101030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen kosten van oprichting en van uitgifte van aandelen","C","5","","","","","1","","","1","","1","","","1",""
"BIvaKouCuhDeh","","A.A.C040","0101030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen kosten van oprichting en van uitgifte van aandelen","C","5","","","","","1","","","1","","1","","","1",""
